type,id,name
relation,37717,Basilica di Sant'Ambrogio
way,463529462,Piazza del Duomo
way,115896315,Parco Sempione
way,404140229,Parco Sempione
way,46103655,San Maurizio al Monastero Maggiore
way,53814592,Milwaukee Public Museum
way,52040959,Milwaukee County Zoo
node,4502593984,Mitchell Park Horticultural Conservatory
way,51865486,Milwaukee Art Museum
way,111981538,Pabst Mansion
relation,6065634,Potawatomi Hotel & Casino
way,68649538,Pabst Theater
way,173559653,Basilica of St. Josaphat
way,381257038,Villa Terrace Decorative Arts Museum
way,4320792,Notre-Dame Basilica
node,213716077,Montreal Museum of Fine Arts
way,26699302,Old Montreal
node,213716077,Old Montreal
way,26417603,Old Montreal
node,2517010971,Mount Royal
node,437811971,Mount Royal
node,300077244,Mount Royal
relation,6275154,Saint Joseph's Oratory
way,25899247,La Ronde
relation,3030568,Saint Basil's Cathedral
relation,1577673,Red Square
relation,3334755,Bolshoi Theatre
relation,1907261,Tretyakov Gallery
relation,3330565,GUM
node,268521606,VDNKh
node,1067491057,VDNKh
relation,4662750,VDNKh
relation,2421978,Pushkin Museum
node,674769829,Haji Ali Dargah
node,2127352602,Elephanta Caves
way,38718382,Girgaum Chowpatty
node,3189375851,Nymphenburg Palace
relation,4773564,Marienplatz
node,2644689615,Marienplatz
node,2644689616,Marienplatz
way,23632546,Hofbräuhaus am Platzl
relation,3866522,Deutsches Museum
way,471620092,Deutsches Museum
node,1413262577,Deutsches Museum
node,3792432868,Viktualienmarkt
node,1870741552,Olympiapark
way,4431170,Allianz Arena
way,123121774,Allianz Arena
node,4350340889,Allianz Arena
way,298266716,BMW Museum
node,368157538,Ryman Auditorium
way,130913353,Centennial Park
way,334219850,The Hermitage
node,1972138811,The Hermitage
way,130905893,Frist Center for the Visual Arts
way,465285666,Frist Center for the Visual Arts
way,249147622,Tennessee State Capitol
way,112916705,Bicentennial Capitol Mall State Park
node,2945859686,India Gate
node,2981346458,Humayun's Tomb
node,2845364678,Lotus Temple
way,400921719,Akshardham
node,2450690119,Lodi Gardens
way,80442502,Lodi Gardens
way,111695183,Gurudwara Bangla Sahib
node,308889041,Rashtrapati Bhavan
way,34633854,Empire State Building
relation,3698894,Metropolitan Museum of Art
way,278346578,Museum of Modern Art
way,66740720,Rockefeller Center
node,4236846689,Rockefeller Center
way,388436810,American Museum of Natural History
node,667172141,Top of The Rock
way,129835611,National September 11 Memorial & Museum
way,265947358,Grand Central Terminal
node,1912138148,Grand Central Terminal
node,1912138145,Grand Central Terminal
way,27459262,Ellis Island
way,248774860,Tulsa
node,3804352784,Norman
node,357385866,Beavers Bend Resort Park
way,24875051,Akershus Fortress
way,28475470,Viking Ship Museum
way,134403996,Norwegian Museum of Cultural History
node,330331150,Vigeland Museum
way,28476403,Kon-Tiki Museum
way,360595435,Fram Museum
